date,spot,delta,gamma,call_value,short_eth,short_pnl,funding_pnl,total_pnl,net_delta,num_calls,rebonded,cumulative_pnl
2026-03-06 12:00:00+00:00,2051.464599609375,35.968189656027754,0.006611141414243312,45851.389507183485,107.90456896808325,0.0,11.068120168706555,11.068120168706555,-71.9363793120555,1,False,11.068120168706555
2026-03-06 13:00:00+00:00,2024.7779541015625,36.261480774110645,0.0068347937523644585,45484.88480845271,108.78444232233193,0.0,11.013217028174534,11.013217028174534,-72.52296154822128,1,False,22.081337196881087
2026-03-06 14:00:00+00:00,1975.8291015625,36.810289279606295,0.007270691846962343,44800.57063298643,110.43086783881888,0.0,10.909626119337036,10.909626119337036,-73.62057855921259,1,False,32.99096331621812
2026-03-06 15:00:00+00:00,1977.0291748046875,36.79644367595451,0.007259750053406498,44816.81541260856,110.43086783881888,-132.5251296049107,10.916252375817281,-121.60887722909341,-73.63442416286438,1,False,-88.61791391287528
2026-03-06 16:00:00+00:00,1972.444091796875,36.84833809201296,0.007302447906253833,44751.24981478107,110.54501427603887,0.0,10.902193014318705,10.902193014318705,-73.6966761840259,1,False,-77.71572089855658
2026-03-06 17:00:00+00:00,1967.4296875,36.905252043792444,0.007349497143342885,44679.44069206142,110.71575613137733,0.0,10.891273274344096,10.891273274344096,-73.81050408758489,1,False,-66.82444762421248
2026-03-06 18:00:00+00:00,1974.7005615234375,36.8222402542633,0.00728179591892318,44781.75427877368,110.46672076278989,0.0,10.9069347759967,10.9069347759967,-73.64448050852658,1,False,-55.91751284821578
2026-03-06 19:00:00+00:00,1984.0960693359375,36.715503626006246,0.0071954461168400475,44913.62540626739,110.14651087801874,0.0,10.927062964207254,10.927062964207254,-73.4310072520125,1,False,-44.99044988400853
2026-03-06 20:00:00+00:00,1980.740478515625,36.7532701801066,0.00722635106328429,44865.629790319035,110.25981054031979,0.0,10.919803494533758,10.919803494533758,-73.5065403602132,1,False,-34.07064638947477
2026-03-06 21:00:00+00:00,1983.8984375,36.717307479740626,0.007197570646471983,44909.41598009839,110.15192243922188,0.0,10.926511340739674,10.926511340739674,-73.43461495948125,1,False,-23.144135048735095
2026-03-06 22:00:00+00:00,1988.3543701171875,36.6667544215812,0.007157146103715453,44971.37487434797,110.00026326474361,0.0,10.935975208824704,10.935975208824704,-73.3335088431624,1,False,-12.20815983991039
2026-03-06 23:00:00+00:00,1978.30029296875,36.780280936974705,0.007249296056030851,44829.05377182213,110.34084281092412,0.0,10.914366082963499,10.914366082963499,-73.56056187394941,1,False,-1.2937937569468918
2026-03-07 00:00:00+00:00,1982.353271484375,36.73414212825394,0.007212190819039417,44885.51002766353,110.20242638476182,0.0,10.92300702346743,10.92300702346743,-73.46828425650787,1,False,9.629213266520539
2026-03-07 01:00:00+00:00,1981.2340087890625,36.7465976370452,0.007222617137443849,44869.01953975818,110.20242638476182,123.34546478538589,10.91683975022816,134.26230453561405,-73.45582874771662,1,False,143.8915178021346
2026-03-07 02:00:00+00:00,1983.0831298828125,36.725451016464795,0.007205824954075891,44894.365770637014,110.20242638476182,-80.43216642510876,10.927028631788687,-69.50513779332007,-73.47697536829702,1,False,74.38638000881451
2026-03-07 03:00:00+00:00,1980.82568359375,36.75078920389326,0.007226686942477351,44861.83379246936,110.20242638476182,168.34389206285516,10.914589828864287,179.25848189171944,-73.45163718086856,1,False,253.64486190053395
2026-03-07 04:00:00+00:00,1976.168701171875,36.80338307879737,0.007269797402941638,44795.36678018153,110.4101492363921,0.0,10.909454060633694,10.909454060633694,-73.60676615759473,1,False,264.5543159611677
2026-03-07 05:00:00+00:00,1977.5067138671875,36.78797937714445,0.007257584162310114,44813.559609276825,110.4101492363921,-147.73018136964035,10.916840569702176,-136.81334079993817,-73.62216985924765,1,False,127.7409751612295
2026-03-07 06:00:00+00:00,1972.7928466796875,36.84130810948914,0.007301459916108369,44746.17659158555,110.52392432846742,0.0,10.90204036510838,10.90204036510838,-73.68261621897827,1,False,138.64301552633788
2026-03-07 07:00:00+00:00,1983.16455078125,36.7234502227752,0.007205876678052716,44891.94435383885,110.1703506683256,0.0,10.924296699628137,10.924296699628137,-73.4469004455504,1,False,149.56731222596602
2026-03-07 08:00:00+00:00,1977.191650390625,36.79090160857467,0.007260977076952903,44806.9648962012,110.37270482572401,0.0,10.91139952062253,10.91139952062253,-73.58180321714934,1,False,160.47871174658854
2026-03-07 09:00:00+00:00,1986.5958251953125,36.68424116512768,0.0071748736186280845,44938.812849044145,110.05272349538305,0.0,10.931514052365102,10.931514052365102,-73.36848233025538,1,False,171.41022579895366
2026-03-07 10:00:00+00:00,1983.5787353515625,36.718118057335644,0.007202564750682426,44895.63734351956,110.15435417200693,0.0,10.924991727098881,10.924991727098881,-73.43623611467129,1,False,182.33521752605253
2026-03-07 11:00:00+00:00,1989.3802490234375,36.652396378655574,0.007149901085451436,44976.518076574706,109.95718913596673,0.0,10.937333015261336,10.937333015261336,-73.30479275731116,1,False,193.27255054131388
2026-03-07 12:00:00+00:00,1982.14013671875,36.733960028124265,0.007216059582145556,44873.94039395889,110.20188008437279,0.0,10.9217784828551,10.9217784828551,-73.46792005624852,1,False,204.19432902416898
2026-03-07 13:00:00+00:00,1981.4298095703125,36.74178342701158,0.007222736633738782,44863.212658966084,110.20188008437279,78.27938723278385,10.917864513493459,89.1972517462773,-73.4600966573612,1,False,293.3915807704463
2026-03-07 14:00:00+00:00,1987.71435546875,36.6705417352012,0.007165493911417072,44950.97306382559,110.0116252056036,0.0,10.933584334481303,10.933584334481303,-73.3410834704024,1,False,304.3251651049276
2026-03-07 15:00:00+00:00,1981.69775390625,36.738317660617064,0.007220596767852803,44865.56238094181,110.21495298185118,0.0,10.920636238550873,10.920636238550873,-73.47663532123411,1,False,315.24580134347843
2026-03-07 16:00:00+00:00,1977.091552734375,36.79029652647893,0.0072631871693875595,44799.83339562736,110.3708895794368,0.0,10.910667672764149,10.910667672764149,-73.58059305295788,1,False,326.15646901624257
2026-03-07 17:00:00+00:00,1977.12939453125,36.789649584538985,0.007262997904242715,44799.653421140305,110.3708895794368,-4.176632784378102,10.910876504403367,6.734243720025265,-73.58123999489783,1,False,332.89071273626786
2026-03-07 18:00:00+00:00,1971.924560546875,36.848557390528846,0.007311488044245702,44725.29458982791,110.54567217158655,0.0,10.899386300865736,10.899386300865736,-73.6971147810577,1,False,343.7900990371336
2026-03-07 19:00:00+00:00,1954.750244140625,37.04456905235689,0.007474079490848931,44480.213963544236,111.13370715707067,0.0,10.861932059876832,10.861932059876832,-74.08913810471378,1,False,354.6520310970104
2026-03-07 20:00:00+00:00,1966.6787109375,36.907870042511256,0.0073609417103151185,44649.44419028479,110.72361012753376,0.0,10.88788834179822,10.88788834179822,-73.8157400850225,1,False,365.5399194388086
2026-03-07 21:00:00+00:00,1970.7049560546875,36.86177675158113,0.007323357882708029,44705.86355459518,110.5853302547434,0.0,10.89655291999836,10.89655291999836,-73.72355350316226,1,False,376.436472358807
2026-03-07 22:00:00+00:00,1965.3509521484375,36.92257749941067,0.007373769847721226,44629.1443369552,110.76773249823202,0.0,10.884873426636187,10.884873426636187,-73.84515499882136,1,False,387.3213457854432
2026-03-07 23:00:00+00:00,1969.3812255859375,36.87640845690088,0.007336064841168431,44685.659622984145,110.62922537070264,0.0,10.893555972308864,10.893555972308864,-73.75281691380175,1,False,398.2149017577521
2026-03-08 00:00:00+00:00,1969.2332763671875,36.87787366875308,0.007337612719154124,44682.84476914905,110.62922537070264,16.367507464513135,10.892737596935639,27.260245061448774,-73.75135170194956,1,False,425.47514681920086
2026-03-08 01:00:00+00:00,1968.65576171875,36.88423222541229,0.007343187363384852,44673.93412569711,110.62922537070264,80.25750566138743,10.889543097025793,91.14704875841322,-73.74499314529035,1,False,516.6221955776141
2026-03-08 02:00:00+00:00,1941.6114501953125,37.194286807165035,0.007602651410224749,44286.80738269258,111.5828604214951,0.0,10.832527971996013,10.832527971996013,-74.38857361433006,1,True,527.4547235496101
